IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.254.91,80,80,false,SIN,Asia Pacific,Singapore,30,10.35
8.219.117.98,2083,2083,true,SIN,Asia Pacific,Singapore,68,10.35
8.219.114.223,8443,8443,true,SIN,Asia Pacific,Singapore,63,10.35
8.219.102.93,8443,8443,true,SIN,Asia Pacific,Singapore,31,10.34
8.219.228.157,8080,8080,false,SIN,Asia Pacific,Singapore,39,10.34
47.91.3.179,2095,2095,false,NRT,Asia Pacific,Tokyo,86,10.34
8.222.174.213,2086,2086,false,SIN,Asia Pacific,Singapore,11,10.34
47.74.27.94,2086,2086,false,NRT,Asia Pacific,Tokyo,180,10.34
47.245.57.109,8443,8443,true,NRT,Asia Pacific,Tokyo,270,10.33
8.219.102.93,2053,2053,true,SIN,Asia Pacific,Singapore,98,10.33
8.219.252.191,2086,2086,false,SIN,Asia Pacific,Singapore,33,10.33
47.245.113.62,80,80,false,SIN,Asia Pacific,Singapore,30,10.33
47.245.87.116,2096,2096,true,SIN,Asia Pacific,Singapore,44,10.33
47.74.0.188,2052,2052,false,NRT,Asia Pacific,Tokyo,149,10.33
47.74.54.33,2083,2083,true,NRT,Asia Pacific,Tokyo,77,10.33
8.219.111.147,443,443,true,SIN,Asia Pacific,Singapore,108,10.33
8.222.245.188,2086,2086,false,SIN,Asia Pacific,Singapore,12,10.33
47.74.10.135,80,80,false,NRT,Asia Pacific,Tokyo,209,10.32
8.219.75.141,2086,2086,false,SIN,Asia Pacific,Singapore,4,10.32
8.222.253.235,2082,2082,false,SIN,Asia Pacific,Singapore,21,10.32
47.74.34.38,2082,2082,false,NRT,Asia Pacific,Tokyo,166,10.32
47.236.102.195,80,0,false,SIN,Asia Pacific,Singapore,244,10.31
47.91.21.107,2052,2052,false,NRT,Asia Pacific,Tokyo,85,10.31
47.245.41.84,2082,2082,false,NRT,Asia Pacific,Tokyo,208,10.31
8.222.224.17,2052,2052,false,SIN,Asia Pacific,Singapore,30,10.31
47.245.126.232,2096,2096,true,SIN,Asia Pacific,Singapore,59,10.31
8.219.76.3,2096,2096,true,SIN,Asia Pacific,Singapore,58,10.31
47.245.3.137,2086,2086,false,NRT,Asia Pacific,Tokyo,344,10.31
47.245.1.35,8080,8080,false,NRT,Asia Pacific,Tokyo,439,10.30
8.222.240.10,2086,2086,false,SIN,Asia Pacific,Singapore,13,10.30
8.219.101.138,2052,2052,false,SIN,Asia Pacific,Singapore,9,10.29
47.74.32.38,8080,8080,false,NRT,Asia Pacific,Tokyo,89,10.29
47.245.7.212,2052,2052,false,NRT,Asia Pacific,Tokyo,179,10.29
8.219.228.157,443,443,true,SIN,Asia Pacific,Singapore,81,10.29
47.245.56.121,2052,2052,false,NRT,Asia Pacific,Tokyo,158,10.29
47.91.22.115,8880,8880,false,NRT,Asia Pacific,Tokyo,305,10.29
8.218.110.180,2096,2096,true,HKG,Asia Pacific,Hong Kong,83,10.28
47.245.52.240,2083,2083,true,NRT,Asia Pacific,Tokyo,205,10.27
8.219.140.229,2082,2082,false,SIN,Asia Pacific,Singapore,14,10.27
8.222.164.209,443,443,true,SIN,Asia Pacific,Singapore,50,10.26
47.91.21.149,2086,2086,false,NRT,Asia Pacific,Tokyo,76,10.26
47.74.54.1,8443,8443,true,NRT,Asia Pacific,Tokyo,141,10.26
47.245.118.93,2087,2087,true,SIN,Asia Pacific,Singapore,111,10.26
8.219.242.208,8443,8443,true,SIN,Asia Pacific,Singapore,69,10.26
47.245.114.114,8443,8443,true,SIN,Asia Pacific,Singapore,98,10.26
47.245.113.62,2083,2083,true,SIN,Asia Pacific,Singapore,76,10.26
47.245.5.56,8443,8443,true,NRT,Asia Pacific,Tokyo,172,10.25
8.219.120.146,2053,2053,true,SIN,Asia Pacific,Singapore,132,10.25
8.219.228.157,443,443,true,SIN,Asia Pacific,Singapore,74,10.25
47.74.26.131,2082,2082,false,NRT,Asia Pacific,Tokyo,87,10.25
8.209.215.247,2087,2087,true,NRT,Asia Pacific,Tokyo,70,10.24
47.245.121.223,8880,8880,false,SIN,Asia Pacific,Singapore,5,10.24
47.245.52.202,8080,8080,false,NRT,Asia Pacific,Tokyo,269,10.24
8.219.222.98,2082,2082,false,SIN,Asia Pacific,Singapore,18,10.24
8.219.116.85,2052,2052,false,SIN,Asia Pacific,Singapore,6,10.24
8.219.72.50,443,443,true,SIN,Asia Pacific,Singapore,141,10.24
8.219.102.132,2095,2095,false,SIN,Asia Pacific,Singapore,4,10.23
8.219.201.174,2082,2082,false,SIN,Asia Pacific,Singapore,8,10.23
8.219.72.51,2095,2095,false,SIN,Asia Pacific,Singapore,5,10.23
47.245.29.64,8443,8443,true,NRT,Asia Pacific,Tokyo,441,10.23
8.219.106.15,8080,8080,false,SIN,Asia Pacific,Singapore,27,10.23
8.219.175.127,443,443,true,SIN,Asia Pacific,Singapore,77,10.22
8.219.106.156,2083,2083,true,SIN,Asia Pacific,Singapore,92,10.22
8.222.212.219,2086,2086,false,SIN,Asia Pacific,Singapore,24,10.22
8.219.156.148,80,80,false,SIN,Asia Pacific,Singapore,24,10.22
47.91.2.5,2096,2096,true,NRT,Asia Pacific,Tokyo,84,10.22
47.245.5.234,2096,2096,true,NRT,Asia Pacific,Tokyo,100,10.22
8.219.160.178,2083,2083,true,SIN,Asia Pacific,Singapore,86,10.21
47.245.107.174,2052,2052,false,SIN,Asia Pacific,Singapore,43,10.21
8.222.214.13,2053,2053,true,SIN,Asia Pacific,Singapore,147,10.21
8.222.218.40,8443,8443,true,SIN,Asia Pacific,Singapore,116,10.21
47.74.15.80,2052,2052,false,NRT,Asia Pacific,Tokyo,153,10.21
47.245.37.12,2082,2082,false,NRT,Asia Pacific,Tokyo,203,10.21
8.222.212.219,2082,2082,false,SIN,Asia Pacific,Singapore,13,10.21
8.219.114.221,8880,8880,false,SIN,Asia Pacific,Singapore,55,10.21
47.74.11.251,8880,8880,false,NRT,Asia Pacific,Tokyo,172,10.20
8.222.238.216,2082,2082,false,SIN,Asia Pacific,Singapore,17,10.20
8.219.116.111,8443,8443,true,SIN,Asia Pacific,Singapore,112,10.20
8.222.244.123,2086,2086,false,SIN,Asia Pacific,Singapore,7,10.20
8.209.252.13,2087,2087,true,NRT,Asia Pacific,Tokyo,364,10.20
47.245.40.161,2082,2082,false,NRT,Asia Pacific,Tokyo,201,10.20
47.74.11.9,2095,2095,false,NRT,Asia Pacific,Tokyo,75,10.20
47.236.23.242,2082,2082,false,SIN,Asia Pacific,Singapore,17,10.20
8.222.212.172,8080,8080,false,SIN,Asia Pacific,Singapore,22,10.19
47.245.30.65,2053,2053,true,NRT,Asia Pacific,Tokyo,101,10.19
8.219.103.148,2053,2053,true,SIN,Asia Pacific,Singapore,131,10.19
8.222.147.102,2086,2086,false,SIN,Asia Pacific,Singapore,12,10.19
8.209.246.24,2087,2087,true,NRT,Asia Pacific,Tokyo,218,10.19
47.245.8.47,2087,2087,true,NRT,Asia Pacific,Tokyo,196,10.19
8.219.137.50,2086,2086,false,SIN,Asia Pacific,Singapore,15,10.19
47.245.115.6,2087,2087,true,SIN,Asia Pacific,Singapore,1089,10.18
8.222.226.15,8880,8880,false,SIN,Asia Pacific,Singapore,23,10.18
8.219.114.201,8443,8443,true,SIN,Asia Pacific,Singapore,74,10.18
8.222.239.214,2083,2083,true,SIN,Asia Pacific,Singapore,224,10.18
47.245.1.55,2096,2096,true,NRT,Asia Pacific,Tokyo,123,10.18
8.219.102.132,8880,8880,false,SIN,Asia Pacific,Singapore,4,10.18
8.222.210.182,2083,2083,true,SIN,Asia Pacific,Singapore,47,10.18
47.74.54.1,2053,2053,true,NRT,Asia Pacific,Tokyo,90,10.17
8.219.114.221,2087,2087,true,SIN,Asia Pacific,Singapore,73,10.17
8.219.170.232,443,443,true,SIN,Asia Pacific,Singapore,51,10.17
8.219.157.97,8880,8880,false,SIN,Asia Pacific,Singapore,24,10.17
8.219.42.163,2082,2082,false,SIN,Asia Pacific,Singapore,45,10.17
47.245.52.165,80,80,false,NRT,Asia Pacific,Tokyo,329,10.17
8.219.247.203,80,80,false,SIN,Asia Pacific,Singapore,324,10.16
47.245.9.228,2096,2096,true,NRT,Asia Pacific,Tokyo,213,10.16
8.219.174.142,2086,2086,false,SIN,Asia Pacific,Singapore,46,10.16
8.222.180.242,2095,2095,false,SIN,Asia Pacific,Singapore,6,10.16
8.219.60.150,2095,2095,false,SIN,Asia Pacific,Singapore,24,10.16
8.219.99.8,2052,2052,false,SIN,Asia Pacific,Singapore,3,10.16
47.74.42.111,8080,8080,false,NRT,Asia Pacific,Tokyo,142,10.16
8.222.220.108,8443,8443,true,SIN,Asia Pacific,Singapore,135,10.16
47.245.87.116,8880,8880,false,SIN,Asia Pacific,Singapore,26,10.16
47.245.34.140,8880,8880,false,NRT,Asia Pacific,Tokyo,90,10.16
8.222.248.36,2082,2082,false,SIN,Asia Pacific,Singapore,22,10.16
8.219.140.229,8443,8443,true,SIN,Asia Pacific,Singapore,74,10.15
8.219.254.128,2083,2083,true,SIN,Asia Pacific,Singapore,71,10.15
47.74.26.132,2082,2082,false,NRT,Asia Pacific,Tokyo,89,10.15
47.245.14.160,80,80,false,NRT,Asia Pacific,Tokyo,425,10.15
47.245.33.158,2087,2087,true,NRT,Asia Pacific,Tokyo,203,10.15
47.236.23.242,2083,2083,true,SIN,Asia Pacific,Singapore,112,10.14
47.245.11.216,8880,8880,false,NRT,Asia Pacific,Tokyo,356,10.14
47.74.26.131,2095,2095,false,NRT,Asia Pacific,Tokyo,219,10.14
47.245.42.210,8080,8080,false,NRT,Asia Pacific,Tokyo,73,10.14
47.245.42.162,8443,8443,true,NRT,Asia Pacific,Tokyo,118,10.14
8.219.67.133,2095,2095,false,SIN,Asia Pacific,Singapore,6,10.14
8.222.210.237,8880,8880,false,SIN,Asia Pacific,Singapore,52,10.14
8.219.238.145,2053,2053,true,SIN,Asia Pacific,Singapore,105,10.14
8.222.202.163,2053,2053,true,SIN,Asia Pacific,Singapore,76,10.14
47.245.126.232,2053,2053,true,SIN,Asia Pacific,Singapore,102,10.14
8.219.65.50,80,80,false,SIN,Asia Pacific,Singapore,21,10.14
8.219.60.150,8880,8880,false,SIN,Asia Pacific,Singapore,7,10.13
8.209.240.229,2082,2082,false,NRT,Asia Pacific,Tokyo,337,10.13
8.219.76.211,8443,8443,true,SIN,Asia Pacific,Singapore,69,10.13
8.219.111.147,8443,8443,true,SIN,Asia Pacific,Singapore,35,10.13
8.219.126.3,443,443,true,SIN,Asia Pacific,Singapore,90,10.13
8.219.241.19,8443,8443,true,SIN,Asia Pacific,Singapore,57,10.13
47.74.35.236,80,80,false,NRT,Asia Pacific,Tokyo,149,10.13
8.219.103.57,2096,2096,true,SIN,Asia Pacific,Singapore,144,10.12
8.219.142.30,2087,2087,true,SIN,Asia Pacific,Singapore,86,10.12
8.219.114.221,2082,2082,false,SIN,Asia Pacific,Singapore,6,10.12
47.245.14.160,2095,2095,false,NRT,Asia Pacific,Tokyo,182,10.12
8.222.195.50,2052,2052,false,SIN,Asia Pacific,Singapore,14,10.12
47.245.33.158,2083,2083,true,NRT,Asia Pacific,Tokyo,182,10.12
8.222.193.208,8880,8880,false,SIN,Asia Pacific,Singapore,30,10.11
8.219.109.237,8880,8880,false,SIN,Asia Pacific,Singapore,19,10.11
8.219.100.155,2086,2086,false,SIN,Asia Pacific,Singapore,30,10.11
47.91.31.235,2096,2096,true,NRT,Asia Pacific,Tokyo,232,10.11
8.219.67.133,2052,2052,false,SIN,Asia Pacific,Singapore,11,10.11
8.222.195.50,80,80,false,SIN,Asia Pacific,Singapore,31,10.10
47.245.3.137,2082,2082,false,NRT,Asia Pacific,Tokyo,74,10.10
8.219.206.180,8080,8080,false,SIN,Asia Pacific,Singapore,32,10.10
8.219.72.100,2083,2083,true,SIN,Asia Pacific,Singapore,108,10.10
8.219.160.178,8880,8880,false,SIN,Asia Pacific,Singapore,9,10.10
8.219.140.63,8443,8443,true,SIN,Asia Pacific,Singapore,83,10.09
47.74.32.38,80,80,false,NRT,Asia Pacific,Tokyo,108,10.09
47.91.25.66,2096,2096,true,NRT,Asia Pacific,Tokyo,222,10.09
47.245.33.56,2083,2083,true,NRT,Asia Pacific,Tokyo,91,10.09
47.245.86.243,8443,8443,true,SIN,Asia Pacific,Singapore,82,10.09
47.74.5.99,2087,2087,true,NRT,Asia Pacific,Tokyo,204,10.09
47.74.5.150,2095,2095,false,NRT,Asia Pacific,Tokyo,87,10.09
8.219.140.229,2053,2053,true,SIN,Asia Pacific,Singapore,54,10.09
47.74.36.83,2096,2096,true,NRT,Asia Pacific,Tokyo,407,10.09
8.219.122.55,2096,2096,true,SIN,Asia Pacific,Singapore,71,10.08
8.219.107.180,2083,2083,true,SIN,Asia Pacific,Singapore,82,10.08
47.74.8.238,8880,8880,false,NRT,Asia Pacific,Tokyo,162,10.08
8.219.117.145,2095,2095,false,SIN,Asia Pacific,Singapore,28,10.07
47.245.39.28,8880,8880,false,NRT,Asia Pacific,Tokyo,79,10.07
8.222.186.17,8080,8080,false,SIN,Asia Pacific,Singapore,15,10.07
8.219.102.84,8443,8443,true,SIN,Asia Pacific,Singapore,79,10.07
8.219.206.53,80,80,false,SIN,Asia Pacific,Singapore,25,10.07
8.219.106.156,2087,2087,true,SIN,Asia Pacific,Singapore,106,10.07
47.74.9.174,8443,8443,true,NRT,Asia Pacific,Tokyo,405,10.07
8.222.213.221,2053,2053,true,SIN,Asia Pacific,Singapore,95,10.07
8.219.235.164,8080,8080,false,SIN,Asia Pacific,Singapore,97,10.06
8.219.174.213,443,443,true,SIN,Asia Pacific,Singapore,52,10.06
8.219.228.157,2082,2082,false,SIN,Asia Pacific,Singapore,12,10.06
8.219.76.211,2082,2082,false,SIN,Asia Pacific,Singapore,17,10.06
8.222.197.251,2083,2083,true,SIN,Asia Pacific,Singapore,97,10.06
8.218.105.223,2083,2083,true,HKG,Asia Pacific,Hong Kong,34,10.06
8.219.153.143,2096,2096,true,SIN,Asia Pacific,Singapore,79,10.06
8.219.167.65,2082,2082,false,SIN,Asia Pacific,Singapore,30,10.05
8.219.116.111,8080,8080,false,SIN,Asia Pacific,Singapore,4,10.05
47.245.87.116,2095,2095,false,SIN,Asia Pacific,Singapore,36,10.05
47.245.113.62,2082,2082,false,SIN,Asia Pacific,Singapore,3,10.04
8.219.126.3,2053,2053,true,SIN,Asia Pacific,Singapore,62,10.04
8.219.6.157,2052,2052,false,SIN,Asia Pacific,Singapore,29,10.04
8.219.117.145,2096,2096,true,SIN,Asia Pacific,Singapore,94,10.04
47.245.41.198,2053,2053,true,NRT,Asia Pacific,Tokyo,189,10.04
47.245.10.123,2086,2086,false,NRT,Asia Pacific,Tokyo,89,10.04
8.219.137.50,443,443,true,SIN,Asia Pacific,Singapore,71,10.03
47.245.54.197,2095,2095,false,NRT,Asia Pacific,Tokyo,315,10.03
47.245.54.98,2083,2083,true,NRT,Asia Pacific,Tokyo,74,10.03
8.222.239.214,2086,2086,false,SIN,Asia Pacific,Singapore,11,10.03
8.219.111.147,2053,2053,true,SIN,Asia Pacific,Singapore,100,10.03
47.245.37.12,2083,2083,true,NRT,Asia Pacific,Tokyo,150,10.02
47.245.54.58,80,80,false,NRT,Asia Pacific,Tokyo,323,10.02
8.222.198.105,80,80,false,SIN,Asia Pacific,Singapore,4,10.02
47.245.2.84,2053,2053,true,NRT,Asia Pacific,Tokyo,206,10.02
47.74.46.78,2087,2087,true,NRT,Asia Pacific,Tokyo,110,10.01
47.245.4.22,2096,2096,true,NRT,Asia Pacific,Tokyo,191,10.01
47.245.84.155,2053,2053,true,SIN,Asia Pacific,Singapore,48,10.01
47.245.7.212,2086,2086,false,NRT,Asia Pacific,Tokyo,194,10.01
8.222.226.72,2052,2052,false,SIN,Asia Pacific,Singapore,19,10.01
47.91.16.214,2083,2083,true,NRT,Asia Pacific,Tokyo,95,10.01
8.219.161.129,8443,8443,true,SIN,Asia Pacific,Singapore,88,10.01
47.74.26.131,2096,2096,true,NRT,Asia Pacific,Tokyo,391,10.01
8.217.147.230,2096,2096,true,HKG,Asia Pacific,Hong Kong,54,10.01
8.219.60.54,2083,2083,true,SIN,Asia Pacific,Singapore,103,10.01
8.219.201.8,443,443,true,SIN,Asia Pacific,Singapore,101,10.01
47.236.15.174,2083,2083,true,SIN,Asia Pacific,Singapore,140,10.00
8.219.222.98,2096,2096,true,SIN,Asia Pacific,Singapore,164,10.00
8.222.251.201,2086,2086,false,SIN,Asia Pacific,Singapore,26,10.00
47.74.11.9,8880,8880,false,NRT,Asia Pacific,Tokyo,302,10.00
8.219.124.227,8443,8443,true,SIN,Asia Pacific,Singapore,136,10.00
8.219.115.239,8880,8880,false,SIN,Asia Pacific,Singapore,24,9.99
8.219.197.111,2053,2053,true,SIN,Asia Pacific,Singapore,69,9.99
47.245.11.230,2053,2053,true,NRT,Asia Pacific,Tokyo,124,9.99
8.219.111.175,8080,8080,false,SIN,Asia Pacific,Singapore,18,9.99
47.74.5.99,8443,8443,true,NRT,Asia Pacific,Tokyo,415,9.99
47.74.22.171,2053,2053,true,NRT,Asia Pacific,Tokyo,279,9.98
47.245.8.156,2095,2095,false,NRT,Asia Pacific,Tokyo,119,9.98
47.245.9.209,2095,2095,false,NRT,Asia Pacific,Tokyo,73,9.98
47.245.37.37,8880,8880,false,NRT,Asia Pacific,Tokyo,278,9.98
8.219.102.84,2083,2083,true,SIN,Asia Pacific,Singapore,33,9.98
8.222.207.208,2086,2086,false,SIN,Asia Pacific,Singapore,30,9.98
8.219.68.41,8080,8080,false,SIN,Asia Pacific,Singapore,4,9.98
47.91.23.146,2086,2086,false,NRT,Asia Pacific,Tokyo,101,9.98
8.219.207.43,2082,2082,false,SIN,Asia Pacific,Singapore,20,9.97
47.74.34.31,2052,2052,false,NRT,Asia Pacific,Tokyo,183,9.97
8.219.145.245,443,443,true,SIN,Asia Pacific,Singapore,106,9.97
8.219.103.57,2052,2052,false,SIN,Asia Pacific,Singapore,24,9.97
8.219.140.232,8880,8880,false,SIN,Asia Pacific,Singapore,5,9.97
8.222.189.228,2086,2086,false,SIN,Asia Pacific,Singapore,5,9.97
8.222.193.225,2053,2053,true,SIN,Asia Pacific,Singapore,83,9.97
47.74.32.38,2086,2086,false,NRT,Asia Pacific,Tokyo,165,9.97
47.74.34.38,2052,2052,false,NRT,Asia Pacific,Tokyo,382,9.97
8.222.236.229,2086,2086,false,SIN,Asia Pacific,Singapore,12,9.96
47.91.17.102,2095,2095,false,NRT,Asia Pacific,Tokyo,157,9.96
8.219.181.1,2086,2086,false,SIN,Asia Pacific,Singapore,4,9.96
47.236.0.17,2053,2053,true,SIN,Asia Pacific,Singapore,148,9.96
47.245.87.116,2086,2086,false,SIN,Asia Pacific,Singapore,5,9.96
8.222.195.50,2052,2052,false,SIN,Asia Pacific,Singapore,14,9.95
8.219.73.252,2096,2096,true,SIN,Asia Pacific,Singapore,72,9.95
47.74.13.66,2095,2095,false,NRT,Asia Pacific,Tokyo,198,9.95
8.219.72.51,2096,2096,true,SIN,Asia Pacific,Singapore,76,9.95
8.219.170.180,2087,2087,true,SIN,Asia Pacific,Singapore,156,9.95
47.245.10.228,2096,2096,true,NRT,Asia Pacific,Tokyo,130,9.95
47.245.14.216,2052,2052,false,NRT,Asia Pacific,Tokyo,84,9.95
8.219.1.137,2096,2096,true,SIN,Asia Pacific,Singapore,35,9.95
8.219.241.189,2083,2083,true,SIN,Asia Pacific,Singapore,94,9.94
8.219.15.197,2082,2082,false,SIN,Asia Pacific,Singapore,15,9.94
47.74.34.31,2053,2053,true,NRT,Asia Pacific,Tokyo,90,9.94
8.219.123.35,8880,8880,false,SIN,Asia Pacific,Singapore,19,9.94
8.219.206.53,2095,2095,false,SIN,Asia Pacific,Singapore,18,9.94
8.219.60.68,2083,2083,true,SIN,Asia Pacific,Singapore,16,9.94
47.245.104.150,2086,2086,false,SIN,Asia Pacific,Singapore,17,9.93
8.222.236.229,8880,8880,false,SIN,Asia Pacific,Singapore,21,9.93
47.245.56.29,8443,8443,true,NRT,Asia Pacific,Tokyo,240,9.93
47.245.86.39,2086,2086,false,SIN,Asia Pacific,Singapore,9,9.93
8.219.73.188,2095,2095,false,SIN,Asia Pacific,Singapore,7,9.93
47.236.15.174,8080,8080,false,SIN,Asia Pacific,Singapore,8,9.93
47.245.90.49,2053,2053,true,SIN,Asia Pacific,Singapore,47,9.93
8.219.114.201,8080,8080,false,SIN,Asia Pacific,Singapore,9,9.93
8.219.107.180,2096,2096,true,SIN,Asia Pacific,Singapore,86,9.93
47.74.13.66,2087,2087,true,NRT,Asia Pacific,Tokyo,174,9.93
47.245.10.164,2095,2095,false,NRT,Asia Pacific,Tokyo,93,9.92
8.219.123.35,2082,2082,false,SIN,Asia Pacific,Singapore,9,9.92
8.219.66.22,8880,8880,false,SIN,Asia Pacific,Singapore,11,9.92
47.74.13.239,2096,2096,true,NRT,Asia Pacific,Tokyo,497,9.92
8.219.196.24,2096,2096,true,SIN,Asia Pacific,Singapore,139,9.91
47.74.54.33,80,80,false,NRT,Asia Pacific,Tokyo,372,9.91
47.245.13.50,2095,2095,false,NRT,Asia Pacific,Tokyo,77,9.90
8.219.110.105,2095,2095,false,SIN,Asia Pacific,Singapore,6,9.90
8.219.92.78,2086,2086,false,SIN,Asia Pacific,Singapore,4,9.90
8.219.58.64,2096,2096,true,SIN,Asia Pacific,Singapore,95,9.90
8.219.153.143,8080,8080,false,SIN,Asia Pacific,Singapore,5,9.90
8.219.113.27,2087,2087,true,SIN,Asia Pacific,Singapore,94,9.90
47.245.120.81,2083,2083,true,SIN,Asia Pacific,Singapore,65,9.89
47.74.18.121,2083,2083,true,NRT,Asia Pacific,Tokyo,159,9.89
47.245.96.198,2053,2053,true,SIN,Asia Pacific,Singapore,96,9.89
47.91.21.127,8080,8080,false,NRT,Asia Pacific,Tokyo,87,9.89
8.219.66.156,2086,2086,false,SIN,Asia Pacific,Singapore,12,9.89
47.74.40.13,2086,2086,false,NRT,Asia Pacific,Tokyo,169,9.89
8.219.153.143,2086,2086,false,SIN,Asia Pacific,Singapore,31,9.89
8.222.137.192,2096,2096,true,SIN,Asia Pacific,Singapore,30,9.89
47.74.54.145,2083,2083,true,NRT,Asia Pacific,Tokyo,162,9.88
47.91.21.107,8880,8880,false,NRT,Asia Pacific,Tokyo,119,9.88
8.219.206.180,2082,2082,false,SIN,Asia Pacific,Singapore,11,9.87
47.91.28.22,2095,2095,false,NRT,Asia Pacific,Tokyo,85,9.87
8.219.73.252,2086,2086,false,SIN,Asia Pacific,Singapore,5,9.87
47.245.127.162,2095,2095,false,SIN,Asia Pacific,Singapore,30,9.87
8.218.149.193,2096,2096,true,HKG,Asia Pacific,Hong Kong,47,9.87
47.74.11.9,8443,8443,true,NRT,Asia Pacific,Tokyo,129,9.87
47.245.3.226,443,443,true,NRT,Asia Pacific,Tokyo,77,9.87
8.219.76.211,8080,8080,false,SIN,Asia Pacific,Singapore,6,9.87
8.222.212.219,2086,2086,false,SIN,Asia Pacific,Singapore,38,9.86
8.218.119.115,2096,2096,true,HKG,Asia Pacific,Hong Kong,56,9.86
8.219.101.72,8443,8443,true,SIN,Asia Pacific,Singapore,127,9.86
8.222.128.131,2086,2086,false,SIN,Asia Pacific,Singapore,25,9.86
47.236.15.174,2052,2052,false,SIN,Asia Pacific,Singapore,6,9.86
47.91.14.62,2096,2096,true,NRT,Asia Pacific,Tokyo,140,9.86
8.222.245.188,2096,2096,true,SIN,Asia Pacific,Singapore,164,9.85
47.245.37.12,2095,2095,false,NRT,Asia Pacific,Tokyo,235,9.85
47.91.18.207,2052,2052,false,NRT,Asia Pacific,Tokyo,338,9.85
47.74.35.236,2053,2053,true,NRT,Asia Pacific,Tokyo,248,9.85
8.219.229.46,80,80,false,SIN,Asia Pacific,Singapore,24,9.85
47.74.46.78,8443,8443,true,NRT,Asia Pacific,Tokyo,88,9.85
47.241.209.61,443,443,true,SIN,Asia Pacific,Singapore,63,9.85
8.219.50.180,2082,2082,false,SIN,Asia Pacific,Singapore,7,9.84
8.222.255.15,8080,8080,false,SIN,Asia Pacific,Singapore,15,9.83
8.209.222.31,8443,8443,true,NRT,Asia Pacific,Tokyo,205,9.83
8.219.179.34,8443,8443,true,SIN,Asia Pacific,Singapore,81,9.83
8.222.144.117,8880,8880,false,SIN,Asia Pacific,Singapore,13,9.83
8.222.217.76,8080,8080,false,SIN,Asia Pacific,Singapore,7,9.83
8.222.218.4,2053,2053,true,SIN,Asia Pacific,Singapore,113,9.83
8.222.222.64,2095,2095,false,SIN,Asia Pacific,Singapore,10,9.83
8.219.120.112,80,80,false,SIN,Asia Pacific,Singapore,12,9.83
8.219.76.211,8880,8880,false,SIN,Asia Pacific,Singapore,29,9.83
8.219.161.129,2083,2083,true,SIN,Asia Pacific,Singapore,77,9.83
8.219.207.43,2095,2095,false,SIN,Asia Pacific,Singapore,10,9.83
47.245.41.169,2052,2052,false,NRT,Asia Pacific,Tokyo,73,9.82
47.245.30.239,2096,2096,true,NRT,Asia Pacific,Tokyo,302,9.82
47.245.4.219,8443,8443,true,NRT,Asia Pacific,Tokyo,108,9.82
47.245.13.93,2083,2083,true,NRT,Asia Pacific,Tokyo,112,9.82
47.245.42.210,2082,2082,false,NRT,Asia Pacific,Tokyo,97,9.82
8.219.110.105,2083,2083,true,SIN,Asia Pacific,Singapore,10,9.81
47.245.9.228,8443,8443,true,NRT,Asia Pacific,Tokyo,172,9.81
8.219.104.242,80,80,false,SIN,Asia Pacific,Singapore,6,9.81
8.209.240.229,80,80,false,NRT,Asia Pacific,Tokyo,172,9.80
47.245.121.223,2096,2096,true,SIN,Asia Pacific,Singapore,138,9.80
8.219.201.245,443,443,true,SIN,Asia Pacific,Singapore,32,9.80
47.236.13.236,2096,2096,true,SIN,Asia Pacific,Singapore,63,9.80
8.219.142.229,2083,2083,true,SIN,Asia Pacific,Singapore,69,9.80
8.219.126.240,8443,8443,true,SIN,Asia Pacific,Singapore,49,9.79
8.219.181.1,2053,2053,true,SIN,Asia Pacific,Singapore,92,9.79
8.219.107.199,2082,2082,false,SIN,Asia Pacific,Singapore,5,9.79
47.74.11.251,2083,2083,true,NRT,Asia Pacific,Tokyo,74,9.79
47.245.13.50,80,80,false,NRT,Asia Pacific,Tokyo,426,9.79
47.74.37.50,2086,2086,false,NRT,Asia Pacific,Tokyo,312,9.79
47.74.18.121,8080,8080,false,NRT,Asia Pacific,Tokyo,213,9.78
8.219.71.3,2053,2053,true,SIN,Asia Pacific,Singapore,121,9.78
8.219.72.51,2082,2082,false,SIN,Asia Pacific,Singapore,10,9.78
8.222.181.177,2087,2087,true,SIN,Asia Pacific,Singapore,48,9.78
47.74.9.206,2052,2052,false,NRT,Asia Pacific,Tokyo,107,9.77
8.219.210.64,2053,2053,true,SIN,Asia Pacific,Singapore,91,9.77
47.245.4.22,8443,8443,true,NRT,Asia Pacific,Tokyo,101,9.77
8.219.13.143,2052,2052,false,SIN,Asia Pacific,Singapore,5,9.77
47.245.12.179,2082,2082,false,NRT,Asia Pacific,Tokyo,422,9.77
47.74.50.249,2087,2087,true,NRT,Asia Pacific,Tokyo,348,9.77
47.91.18.207,2053,2053,true,NRT,Asia Pacific,Tokyo,216,9.77
8.219.103.47,2095,2095,false,SIN,Asia Pacific,Singapore,18,9.77
47.236.116.26,2053,2053,true,SIN,Asia Pacific,Singapore,137,9.76
8.219.140.63,2083,2083,true,SIN,Asia Pacific,Singapore,82,9.76
47.245.10.77,2052,2052,false,NRT,Asia Pacific,Tokyo,93,9.76
47.245.90.75,8880,8880,false,SIN,Asia Pacific,Singapore,4,9.75
47.74.42.69,80,80,false,NRT,Asia Pacific,Tokyo,318,9.75
